gene,qval_6h,ratio_6h,qval_1d,ratio_1d,qval_3d,ratio_3d,qval_7d,ratio_7d
ADAMTS6,0.902072,1.03978,0.319521,1.12411,0.996936,0.997741,0.997914,0.981697
ADAMTS7,0.525981,0.797275,0.453612,0.90535,0.937771,0.945688,0.994119,0.944049
ADAMTS8,0.539753,0.831401,0.918431,0.983546,0.963141,0.970121,0.997125,0.959793
ADAMTS9,0.562795,0.878593,0.949967,0.991912,0.894914,0.942638,0.998666,0.994282
ADAMTSL1,0.517299,0.838345,0.983007,1.00299,0.9666,0.977272,0.940842,0.912706
ADAMTSL1,0.644547,0.930269,0.901424,0.987662,0.804129,0.927215,0.994945,0.970474
ADAMTSL3,0.593213,0.897322,0.532972,0.942713,0.914091,0.952272,0.998861,1.00489
ADAMTSL4,0.805851,0.905167,0.010182,1.45204,0.630914,1.31708,0.997914,0.950661
ADAMTSL4,0.655322,0.852066,0.90391,0.972684,0.881303,0.888927,0.997914,0.945012
ADAMTSL5,0.62151,0.880595,0.206926,0.874508,0.850534,0.903737,0.993753,0.948027
ADAP1,0.916806,1.03317,0.0247761,1.24335,0.755489,1.15051,0.944111,0.894824
ADAP2,0.641828,1.16413,5.17E-12,2.62415,0.288115,1.4188,0.997914,0.988327
ADAR,0.579986,1.18633,3.31E-09,1.97493,0.13317,1.47039,0.992332,1.07695
ADARB1,0.861171,1.04882,0.0286378,0.815915,0.945277,0.959718,0.997914,1.01234
ADARB2,0.62127,0.862814,0.843096,0.966126,0.904854,0.923248,0.997914,0.968124
ADAT1,0.874062,1.04585,0.866655,0.974932,0.997083,1.00184,0.956266,1.10813
ADAT2,0.980976,0.993877,0.00237979,0.822796,0.839644,0.929156,0.874671,1.10135
ADAT3,0.893956,0.957921,0.976775,0.994645,0.920377,0.937268,0.998861,1.00729
ADCK1,0.959797,1.01746,0.966784,1.00692,0.955864,1.03486,0.995877,0.954898
ADCK2,0.566666,1.14214,0.416239,0.924745,0.89277,1.06567,0.997914,1.0258
ADCK3,0.886822,1.03261,2.31E-07,0.683259,0.995657,0.997517,0.998894,0.995465
ADCK4,0.598746,0.928118,0.845348,1.01603,0.8615,1.05287,0.967231,0.949412
ADCK5,0.651311,0.897532,0.663791,1.05536,0.994753,0.995961,0.997216,1.03946
ADCY1,0.612551,0.887622,0.95187,1.00911,0.917179,0.945388,0.996577,0.962317
