miRNA,Type,T1,T2,T3,C1,C2,C3
mmu-miR-28#,Target,35,35,35,35,35,35
mmu-miR-28-3p,Target,35,35,35,35,35,35
mmu-miR-290,Target,35,35,35,35,35,35
mmu-miR-290-3p,Target,35,35,35,35,35,35
mmu-miR-290-5p,Target,35,35,35,35,35,35
mmu-miR-291-3p,Target,35,35,35,35,35,35
mmu-miR-291-5p,Target,35,35,35,35,35,35
mmu-miR-291a-3p,Target,35,35,35,35,35,35
mmu-miR-291b-3p,Target,35,35,35,35,35,35
mmu-miR-291b-5p,Target,35,35,35,35,35,35
mmu-miR-292-3p,Target,35,35,35,35,35,35
mmu-miR-292-5p,Target,35,35,35,35,35,35
mmu-miR-293,Target,35,35,35,35,35,35
mmu-miR-293#,Target,35,35,35,35,35,35
mmu-miR-294,Target,35,35,35,35,35,35
mmu-miR-294#,Target,35,35,35,35,35,35
mmu-miR-295,Target,35,35,35,35,35,35
mmu-miR-295#,Target,35,35,35,35,35,35
mmu-miR-296,Target,19.5316,19.7506,20.5518,21.2932,19.6501,21.0093
mmu-miR-296-3p,Target,28.4155,29.4033,29.9651,29.7178,28.6608,29.4218
mmu-miR-297a#,Target,35,35,35,35,35,35
mmu-miR-297b,Target,35,35,35,35,35,35
mmu-miR-297c,Target,35,35,35,35,35,35
mmu-miR-298,Target,35,35,35,35,35,35
mmu-miR-299,Target,35,35,35,35,35,35
mmu-miR-299-5p,Target,35,35,35,35,35,35
mmu-miR-29a,Target,21.9704,21.5946,22.6137,22.127,21.9348,23.2805
mmu-miR-29a#,Target,28.7621,27.8803,30.9806,27.6148,28.9107,28.9622
mmu-miR-29b,Target,30.0022,30.0111,31.9902,30.7936,29.7132,32.1062
mmu-miR-29b#,Target,35,35,35,35,35,35
mmu-miR-29b-2#,Target,30.855,30.9814,30.72,30.1185,30.7163,31.73
mmu-miR-29c,Target,26.4129,26.3376,27.9971,26.9635,26.3849,28.5314
mmu-miR-300,Target,35,35,35,35,35,35
mmu-miR-300#,Target,35,35,35,35,35,35
mmu-miR-301,Target,20.5455,20.5884,22.3269,21.5149,20.9874,22.1551
mmu-miR-301b,Target,20.9112,20.9863,22.4875,21.9146,21.2489,22.2755
mmu-miR-302a,Target,31.3013,31.6924,32.9575,32.4684,32.3502,34.356
mmu-miR-302a#,Target,35,35,35,35,35,35
mmu-miR-302b,Target,35,35,35,35,35,35
mmu-miR-302b#,Target,35,35,35,35,35,35
mmu-miR-302c,Target,35,35,35,35,35,35
mmu-miR-302c#,Target,35,35,35,35,35,35
mmu-miR-302d,Target,35,35,35,35,35,35
mmu-miR-30a-3p,Target,20.2708,20.6143,20.4919,19.9504,20.4601,20.5541
mmu-miR-30a-5p,Target,35,35,35,35,35,35
mmu-miR-30b,Target,17.942,17.9896,18.6726,18.7308,17.9786,18.684
mmu-miR-30b#,Target,35,35,35,35,35,35
mmu-miR-30c,Target,16.8462,16.8449,17.3247,17.664,16.9626,17.4362
mmu-miR-30c-1#,Target,30.7654,31.5068,30.37,29.3858,31.9991,32.4692
mmu-miR-30c-2#,Target,27.0674,35,35,26.7179,35,28.0446
mmu-miR-30d,Target,35,35,35,35,35,35
mmu-miR-30d#,Target,24.967,27.9921,25.2064,24.4956,24.3253,24.6227
mmu-miR-30e,Target,35,35,35,35,35,35
mmu-miR-30e-3p,Target,20.227,20.8532,20.4876,19.9654,20.4208,20.5412
mmu-miR-31,Target,35,35,35,35,35,35
mmu-miR-31#,Target,24.096,25.1976,24.7996,23.6062,23.1432,23.9492
mmu-miR-32,Target,30.0381,29.4168,31.8932,30.8964,29.9627,31.6762
mmu-miR-320,Target,21.5504,21.1922,21.9443,21.7453,21.8474,22.3426
mmu-miR-322,Target,35,35,35,35,35,35
mmu-miR-322#,Target,35,35,35,35,35,35
